PLATE MJD NEXP SEEING20 SEEING50 SEEING80 CARTID AZ ALT AIRMASS RA DEC SPEC1_R SPEC2_R SPEC1_I SPEC2_I
10000 57346 28 1.83997 1.96199 2.16644 11 271.730404143 60.0538752857 1.08419 29.815837 27.250524 31.4738 45.5044 24.7215 39.738
7275 57093 32 2.04209 2.15035 2.3224 14 149.166581125 60.69425825 1.21904 137.715465 54.898612 43.9553 44.9729 34.1695 33.4675
7276 57061 40 2.32067 2.44232 2.60752 12 148.897991873 61.3260013725 1.20406 132.333089 54.372425 36.4999 28.87 34.0412 27.3945
7277 56748 16 1.50672 1.61102 1.71257 11 177.209 68.4802504578 1.07605 128.120948 54.081904 39.9623 36.958 34.7425 32.1573
7278 57041 20 1.40974 1.50174 1.62092 15 148.507 57.82 1.21828 137.00098 56.969525 41.1656 44.5839 33.1343 34.3637
7279 57071 20 1.56488 1.6848 1.8049 14 147.9007076 59.030281 1.20157 134.897829 55.975267 45.2325 45.1153 41.2526 37.5955
7280 56709 28 1.64036 1.76594 1.94201 11 145.958 55.8141 1.28762 123.153633 56.635025 53.6383 51.2776 44.8183 43.6887
7281 57007 36 1.86651 2.04509 2.19547 16 143.519 57.0097 1.2242 121.823176 55.055093 41.7286 35.8879 35.6393 31.4916
7282 56660 32 1.69531 1.83218 1.9965 15 133.539 57.6866243706 1.1576 150.450891 49.624078 60.0434 67.9429 45.4629 53.9093
7283 57063 20 1.60652 1.69582 1.81428 14 145.6555118 59.6376554 1.19571 145.609674 54.691205 42.1832 41.4979 36.8197 35.2042
7284 56683 20 1.49326 1.59172 1.71604 11 126.527 58.8534 1.22385 149.811761 46.075114 53.8452 51.2196 49.6937 42.6067
7285 56991 16 1.44445 1.50758 1.5831 16 158.731 65.7779998016 1.10728 140.305045 54.462229 44.487 44.193 35.0918 35.6817
7286 57096 24 1.79945 1.92668 2.0558 14 141.622077667 57.9609271667 1.24082 143.210354 53.647723 36.5301 38.8056 28.3833 29.293
7287 57042 16 1.30075 1.35547 1.41948 15 137.647 56.893 1.22568 146.429223 52.392232 46.8256 51.9478 37.4251 41.6991
7288 57039 20 1.40706 1.50304 1.59436 13 139.915 55.6436 1.262 135.618185 53.934282 50.5872 46.9957 38.8611 34.9534
7289 57039 16 1.67805 1.76743 1.86208 10 147.283 63.9977497177 1.11225 138.492261 52.861197 41.9753 38.6385 32.126 28.8429
7290 57073 24 1.5222 1.60033 1.69617 14 140.061227167 59.120326 1.19746 140.896978 52.283079 35.4216 35.0193 27.768 26.2517
7291 56992 16 1.3733 1.43743 1.52945 16 140.549 61.9318 1.15665 143.963889 51.440347 44.1743 50.1379 34.3046 38.6699
7292 56709 16 1.20078 1.26045 1.34092 14 147.568 67.7390000458 1.095 146.911266 50.14282 53.7864 54.2722 47.7241 49.7778
7293 56741 20 1.4385 1.52858 1.62216 11 158.623 67.9276 1.08015 131.25726 52.459527 36.3483 33.9238 30.2067 28.7286
7294 56739 12 1.3911 1.43937 1.49537 11 159.557 68.34999823 1.0798 133.755766 52.474861 31.9617 30.8111 25.5935 25.3499
7295 57067 20 1.53396 1.67134 1.8012 14 149.1667822 65.8912132 1.08511 136.542522 52.026249 52.3509 52.6664 46.5606 44.8528
7296 57046 24 1.88285 2.0642 2.24923 15 141.614 63.9543340403 1.12509 139.131491 50.839298 26.3804 29.4969 21.9325 23.5559
7297 57040 24 1.62118 1.75253 1.89732 15 133.764 56.2448 1.28063 142.185679 50.382935 39.8045 42.8934 29.942 31.4756
7298 56661 20 1.72348 1.82562 1.94714 15 134.226 61.2384002441 1.18434 144.849123 48.954017 37.102 39.2636 27.1315 30.07
7299 56686 20 1.40732 1.47314 1.57456 14 131.137 59.4152 1.21197 147.767131 48.186092 61.6489 55.9966 54.1445 48.0486
7300 56707 32 1.28511 1.36371 1.42494 11 140.047 56.5481 1.30883 121.959613 53.179185 40.3285 38.2206 33.3995 30.7718
7301 56746 20 1.49198 1.66056 1.85098 11 181.788 69.7582006104 1.06523 125.134269 52.633443 37.8677 43.9574 34.8949 36.9261
7302 57012 28 1.58704 1.7022 1.894 13 138.201 56.7583 1.12097 128.849204 52.42361 38.2245 34.0794 27.3184 25.5656
7303 57013 24 1.78433 1.88608 2.02563 16 132.611 54.0208 1.24694 132.52891 50.478868 27.9184 24.308 24.1517 18.7262
7304 56745 24 1.53502 1.62253 1.70277 11 149.81 67.9976665548 1.08845 135.694393 50.640664 57.0175 60.8372 45.0201 47.9851
7305 56991 12 1.21357 1.2803 1.35503 15 136.054 62.4873326518 1.13885 138.221335 49.422743 36.6764 36.3472 29.3214 28.7569
7306 56684 20 1.22788 1.28154 1.37912 11 137.216 64.1577995728 1.14679 141.064687 48.841884 73.2765 59.0884 62.4801 45.8561
7307 56720 20 1.59176 1.73496 1.88648 10 137.112 66.2518007202 1.12452 143.469496 47.703018 42.0692 47.7494 38.3197 39.5687
7308 56709 12 1.3259 1.40023 1.48783 13 127.862 59.475 1.17621 147.047418 46.756407 37.3567 34.8791 33.5044 28.682
7309 56991 20 1.33858 1.41418 1.47578 14 135.637 58.6962 1.21796 124.681945 50.59047 50.0431 49.6548 40.7949 40.5068
7310 56693 28 1.44994 1.58414 1.70701 13 156.279 68.4895712019 1.09153 127.440786 50.684056 44.2456 40.6189 41.1185 34.7903
7311 57038 36 2.29162 2.42661 2.57119 12 133.584 56.0572223511 1.28635 129.910218 50.188546 29.0667 25.0528 25.3326 19.5001
7314 56990 16 1.1941 1.27167 1.38725 17 130.518 59.6235 1.19059 138.065169 47.926676 44.0161 51.9536 34.5094 41.2897
7315 56685 24 1.91193 2.09058 2.25412 13 130.602 63.5296673431 1.17502 141.075482 46.343289 42.3102 38.195 39.0566 36.1539
7316 56710 16 1.31865 1.38608 1.50555 13 133.159 67.299 1.10434 144.645535 45.983865 41.7028 37.6599 35.1386 29.4964
7317 56992 20 1.32684 1.38464 1.4687 15 138.803 63.555 1.15202 121.648126 49.74509 49.3242 52.2407 40.85 43.5519
7318 56990 20 1.3044 1.39246 1.53428 14 129.457 53.662 1.3097 125.964687 48.6943 40.53 49.8249 30.782 38.4172
7319 56962 24 1.74018 1.8857 2.06222 10 131.073 56.8248 1.30648 128.474912 48.281019 27.787 25.814 21.1306 19.8455
7320 56722 32 1.6723 1.78383 1.94269 11 131.852 62.017 1.11998 131.029353 47.706544 39.51 49.6347 35.1134 42.1746
7324 56935 16 1.4278 1.52488 1.71465 11 127.938 54.7957 1.23262 121.442578 47.797185 37.5633 33.5109 29.1829 28.2524
7325 56717 20 1.51082 1.6338 1.73934 11 127.282 59.3724 1.21511 126.714376 46.303048 45.2832 43.9701 37.3155 34.6366
7326 56710 12 1.21057 1.26733 1.34877 11 128.449 62.9767 1.13509 129.655512 46.002574 33.3774 34.4135 26.3383 27.388
7327 56715 16 1.39092 1.47598 1.56163 16 127.313 60.8077497787 1.17673 132.602459 46.052194 42.8826 40.9456 31.1637 29.7498
7328 56715 36 1.36661 1.45089 1.53003 11 133.569 63.7209994236 1.09304 123.823139 46.041669 42.85 44.8118 38.6206 35.4435
7329 56719 20 1.52534 1.64324 1.80424 10 128.704 57.3648 1.22696 151.135651 47.656668 41.0408 37.5727 34.4754 29.8628
7373 56990 20 1.43202 1.53144 1.68182 12 170.036 65.3535988342 1.10883 131.656228 56.617988 45.4377 46.8757 37.7517 38.5239
7374 56751 32 1.7458 1.93294 2.14044 11 190.353 65.7007499046 1.08667 129.412088 55.641916 43.382 43.4329 39.2816 39.7673
7375 56981 20 1.28096 1.37482 1.4922 13 178.877 66.3233992187 1.09342 126.068652 56.18435 52.0604 44.0954 45.5375 36.8536
7376 56749 20 1.58462 1.70364 1.82812 11 197.121 66.3961998047 1.07996 124.873828 54.546332 43.0426 43.7031 38.5944 38.6849
7377 56741 20 1.60666 1.71642 1.82074 10 203.13 68.5600012329 1.06096 121.791929 51.458365 44.9838 42.2789 39.5262 39.2598
7378 56715 16 1.22473 1.29997 1.4036 10 166.181 73.588751358 1.04657 123.88146 48.271106 48.2487 43.3278 37.1629 34.6097
7379 56713 24 1.33958 1.43168 1.53273 13 212.572 72.6266661682 1.05186 121.584043 46.115293 36.2254 34.5795 35.6574 28.2851
